Name,Volume,Sales,Floor,Floor Change,Owners / Supply,Owners Change,% Listed,List Change %
GODA Mint Pass,2.4Ξ,1,2.69Ξ,-0.38%,72%,-1,3%,0.00%
FULL SEND METACARD,2.36Ξ,5,0.51Ξ,-1.93%,67%,-1,0.80%,0.02%
HELIX Founder Pass,2.32Ξ,8,0.3Ξ,-12.18%,49%,0,3.20%,-0.22%
COCKPUNCH by Tim F...,2.32Ξ,4,0.48Ξ,-0.82%,47%,1,7.30%,-0.05%
Squishiverse,2.29Ξ,19,0.13Ξ,25%,8%,-1,1.30%,-0.15%
Tubby Cats,2.19Ξ,13,0.13Ξ,17.49%,41%,1,4.30%,0.03%
Space Riders,2.14Ξ,12,0.18Ξ,5.50%,36%,109,5.90%,-0.05%
Nifty Portal,2.1Ξ,10,0.23Ξ,7.79%,54%,-3,0%,0.00%
SupDucks,2.07Ξ,10,0.18Ξ,0%,38%,0,2.70%,0.00%
Aopanda Party,2.05Ξ,2,1.11Ξ,-1.93%,29%,2,0.90%,0.04%
Wassies by Wassies,2.05Ξ,3,0.71Ξ,-2.84%,19%,1,1.30%,-0.13%
ZenChests,2.03Ξ,4,0.54Ξ,5.88%,58%,3,1.60%,-0.09%
Nyolings,1.97Ξ,28,0.04Ξ,-15.48%,29%,5,6.50%,0.55%
QuantumKeyRing,1.96Ξ,3,0.75Ξ,-3.22%,83%,0,3.50%,-0.09%
The Dori Samurai,1.92Ξ,11,0.18Ξ,-2.87%,37%,-1,10.60%,-0.68%
VaynerSports Pass,1.85Ξ,15,0.09Ξ,18.92%,41%,-2,3.10%,0.10%
TBAC,1.82Ξ,8,0.2Ξ,-4.77%,40%,0,0.20%,0.00%
The Pendings,1.79Ξ,13,0.09Ξ,-8.85%,39%,-2,12.60%,-0.60%
Prime Ape Planet,1.78Ξ,16,0.1Ξ,-4.77%,42%,4,4.60%,-0.43%
MetaHero,1.76Ξ,3,0.59Ξ,-0.02%,35%*,+3*,3.10%,-0.13%
Metaverse HQ,1.72Ξ,2,0.85Ξ,-2.94%,62%,3,2%,0.00%
HENI Editions Deed...,1.7Ξ,1,1.67Ξ,-0.57%,51%,0,2.70%,-0.08%
Wumbo Pass,1.7Ξ,1,1.98Ξ,-0.56%,98%,0,4%,0.74%
Paint Drawing by F...,1.68Ξ,4,0.43Ξ,-0.23%,37%,1,2.90%,-0.11%
Crypto Chicks,1.65Ξ,10,0.13Ξ,-15.46%,43%,-1,3.70%,-0.09%
Shellz Orb,1.62Ξ,21,0.07Ξ,-6.02%,25%,2,7.30%,-0.02%
Desperate ApeWives,1.57Ξ,3,0.19Ξ,-3.71%,40%,-2,2.80%,-0.02%
Exosama,1.57Ξ,2,0.9Ξ,-4.46%,12%,-3,1.20%,0.01%
Toys by 0xTechno,1.55Ξ,2,0.56Ξ,-2.30%,56%,1,20.30%,1.04%
Killer GF,1.53Ξ,5,0.13Ξ,-6.11%,49%,0,4.60%,0.14%
VOX Series 1,1.53Ξ,3,0.45Ξ,3.66%,36%,-1,1.50%,0.02%
My Pet Hooligan,1.52Ξ,2,0.8Ξ,-2.64%,46%,-1,3.70%,-0.01%
Mind the Gap by Mo...,1.51Ξ,1,1.93Ξ,0%,54%,-1,11.10%,0.40%
Art Gobblers,1.5Ξ,1,1.69Ξ,-3.98%,26%,1,3.10%,0.15%
Gutter Rats,1.47Ξ,6,0.26Ξ,-7.02%,63%,2,5%,-0.27%
Momentum,1.46Ξ,1,1.65Ξ,0%,96%,0,3.50%,0.27%
Boss Beauties,1.44Ξ,6,0.2Ξ,-0.95%,55%,0,3.20%,-0.07%
The Fungible by Pa...,1.4Ξ,2,0.74Ξ,4.15%,35%,-1,1%,0.00%
grumpls,1.39Ξ,4,0.24Ξ,0%,50%,-3,5.40%,-0.16%
Arcade Land,1.37Ξ,9,0.09Ξ,-1.62%,50%,-2,3%,0.12%
Abstraction by ano...,1.37Ξ,5,0.38Ξ,-12.57%,48%,0,14.70%,0.00%
Degenz Access Pass,1.36Ξ,6,0.24Ξ,-3.93%,46%,0,100%,0.00%
Cel Mates,1.35Ξ,7,0.17Ξ,-2.89%,43%,-7,10.20%,-0.09%
Crypto Bull Societ...,1.3Ξ,10,0.14Ξ,29.40%,50%,-5,2.20%,-0.03%
STATE OF THE ART b...,1.28Ξ,6,0.19Ξ,-9.14%,44%,-2,12.30%,-0.06%
Creature World,1.25Ξ,6,0.2Ξ,-10.10%,60%,3,4%,0.07%
Nanopass,1.2Ξ,7,0.17Ξ,-0.58%,62%,-5,2.50%,-0.09%
[ Ledger ] Market ...,1.16Ξ,8,0.14Ξ,3.37%,78%,-2,1.70%,-0.09%
Karma,1.12Ξ,5,0.25Ξ,-6.15%,24%,1,2.10%,0.03%
mcgoblintownwtf,1.11Ξ,5,0.18Ξ,-0.06%,54%,2,3.90%,-0.09%
Loot,1.07Ξ,2,0.51Ξ,-3.60%,32%,0,1.30%,-0.01%
Boki,1.03Ξ,14,0.07Ξ,13.01%,47%,-1,6.20%,-0.14%
